timestamp,sender,recipient,subject,size_bytes,attachment,spam_score,action,src_ip,category
2024-03-03 08:14:21,pmitchell@aceptech.local,sturner@aceptech.local,Q1 Report,14101,report.pdf,1.24,Delivered,10.10.50.7,Normal
2024-03-03 17:21:11,qkelly@aceptech.local,dreed@aceptech.local,FYI,28445,invoice.xlsx,1.01,Delivered,10.10.50.7,Normal
2024-03-05 09:42:03,ptaylor@aceptech.local,iwalker@aceptech.local,FYI,20984,invoice.xlsx,0.19,Delivered,10.10.50.7,Normal
2024-03-17 10:57:34,ecook@aceptech.local,ibailey@aceptech.local,FYI,5573,invoice.xlsx,0.58,Delivered,10.10.50.7,Normal
2024-03-27 09:31:56,gbell@aceptech.local,kgreen@aceptech.local,FYI,31730,report.pdf,1.27,Delivered,10.10.50.7,Normal
2024-03-22 11:32:51,lward@aceptech.local,pmitchell@aceptech.local,Invoice Attached,29113,None,0.98,Delivered,10.10.50.7,Normal
2024-03-26 17:04:37,nnelson@aceptech.local,xcollins@aceptech.local,Invoice Attached,33707,None,0.71,Delivered,10.10.50.7,Normal
2024-03-01 15:27:19,rsanders@aceptech.local,mbaker@aceptech.local,Action Required,19911,invoice.xlsx,0.04,Delivered,10.10.50.7,Normal
2024-03-13 16:13:00,sprice@aceptech.local,lward@aceptech.local,Project Update,36074,None,0.83,Delivered,10.10.50.7,Normal
2024-03-07 15:17:39,sprice@aceptech.local,xcollins@aceptech.local,Meeting Follow-up,49462,None,0.66,Delivered,10.10.50.7,Normal
2024-03-28 16:13:45,fmorgan@aceptech.local,owatson@aceptech.local,Team Schedule,30031,None,1.04,Delivered,10.10.50.7,Normal
2024-03-18 10:48:39,lward@aceptech.local,ptaylor@aceptech.local,Q1 Report,43476,invoice.xlsx,0.6,Delivered,10.10.50.7,Normal
2024-03-02 13:58:46,tphillips@aceptech.local,nwood@aceptech.local,Please Review,42324,None,0.86,Delivered,10.10.50.7,Normal
2024-03-28 09:34:36,xcollins@aceptech.local,ptaylor@aceptech.local,Q1 Report,35959,None,0.62,Delivered,10.10.50.7,Normal
2024-03-09 16:21:09,ecook@aceptech.local,qperez@aceptech.local,Project Update,34862,None,0.1,Delivered,10.10.50.7,Normal
2024-03-27 16:33:29,vparker@aceptech.local,crogers@aceptech.local,FYI,41968,None,0.93,Delivered,10.10.50.7,Normal
2024-03-19 08:49:31,hrobinson@aceptech.local,nnelson@aceptech.local,Please Review,42542,invoice.xlsx,0.5,Delivered,10.10.50.7,Normal
2024-03-09 16:50:40,sturner@aceptech.local,qkelly@aceptech.local,FYI,20891,None,0.55,Delivered,10.10.50.7,Normal
2024-03-13 15:50:04,pmitchell@aceptech.local,mbaker@aceptech.local,Invoice Attached,48995,report.pdf,0.28,Delivered,10.10.50.7,Normal
2024-03-23 08:49:21,hmurphy@aceptech.local,fmorgan@aceptech.local,Meeting Follow-up,39308,invoice.xlsx,0.12,Delivered,10.10.50.7,Normal
2024-03-02 08:07:20,jsmith@aceptech.local,hrobinson@aceptech.local,Meeting Follow-up,10712,invoice.xlsx,0.85,Delivered,10.10.50.7,Normal
2024-03-28 10:34:25,mwilson@aceptech.local,tphillips@aceptech.local,Quick Question,15584,report.pdf,0.02,Delivered,10.10.50.7,Normal
2024-03-26 09:23:57,xcollins@aceptech.local,eharris@aceptech.local,Quick Question,43156,None,0.48,Delivered,10.10.50.7,Normal
2024-03-23 12:29:04,kgreen@aceptech.local,hmurphy@aceptech.local,Team Schedule,28816,None,0.08,Delivered,10.10.50.7,Normal
2024-03-17 10:06:20,pbrooks@aceptech.local,lward@aceptech.local,Meeting Follow-up,28828,None,1.5,Delivered,10.10.50.7,Normal
2024-03-29 12:29:56,ladams@aceptech.local,ladams@aceptech.local,Agenda for Tomorrow,5811,None,0.88,Delivered,10.10.50.7,Normal
2024-03-07 15:01:50,crogers@aceptech.local,kcox@aceptech.local,Team Schedule,16832,None,1.21,Delivered,10.10.50.7,Normal
2024-03-23 12:46:50,iwalker@aceptech.local,iwalker@aceptech.local,Please Review,27619,None,0.87,Delivered,10.10.50.7,Normal
2024-03-22 09:14:31,jrivera@aceptech.local,glewis@aceptech.local,Please Review,47855,report.pdf,0.81,Delivered,10.10.50.7,Normal
2024-03-26 13:01:38,lbrown@aceptech.local,ecook@aceptech.local,Action Required,35060,invoice.xlsx,0.25,Delivered,10.10.50.7,Normal
2024-03-21 12:26:05,bmorris@aceptech.local,owatson@aceptech.local,Project Update,16843,None,0.79,Delivered,10.10.50.7,Normal
2024-03-20 11:45:21,xcollins@aceptech.local,qperez@aceptech.local,Team Schedule,38868,invoice.xlsx,0.04,Delivered,10.10.50.7,Normal
2024-03-30 10:59:48,ocarter@aceptech.local,yedwards@aceptech.local,Please Review,32604,None,1.14,Delivered,10.10.50.7,Normal
2024-03-11 15:19:59,ucampbell@aceptech.local,pbrooks@aceptech.local,Q1 Report,44508,None,0.55,Delivered,10.10.50.7,Normal
2024-03-22 17:44:39,glewis@aceptech.local,mbaker@aceptech.local,Project Update,35357,invoice.xlsx,0.58,Delivered,10.10.50.7,Normal
2024-03-06 12:38:41,mwilson@aceptech.local,ocarter@aceptech.local,FYI,20632,None,0.43,Delivered,10.10.50.7,Normal
2024-03-24 14:23:42,wevans@aceptech.local,ladams@aceptech.local,Invoice Attached,24234,report.pdf,1.28,Delivered,10.10.50.7,Normal
2024-03-01 12:54:50,asanchez@aceptech.local,ecook@aceptech.local,Quick Question,44745,report.pdf,0.84,Delivered,10.10.50.7,Normal
2024-03-16 14:09:16,kgreen@aceptech.local,jscott@aceptech.local,Project Update,14306,None,0.12,Delivered,10.10.50.7,Normal
2024-03-10 10:37:06,ucampbell@aceptech.local,bmorris@aceptech.local,Action Required,31162,invoice.xlsx,1.2,Delivered,10.10.50.7,Normal
2024-03-22 15:30:09,rroberts@aceptech.local,ucampbell@aceptech.local,Quick Question,28830,report.pdf,0.23,Delivered,10.10.50.7,Normal
2024-03-07 16:13:39,jrivera@aceptech.local,eharris@aceptech.local,FYI,14326,invoice.xlsx,0.1,Delivered,10.10.50.7,Normal
2024-03-03 14:08:13,mwilson@aceptech.local,tphillips@aceptech.local,FYI,10425,None,1.45,Delivered,10.10.50.7,Normal
2024-03-27 10:17:02,jsmith@aceptech.local,sprice@aceptech.local,Team Schedule,22603,report.pdf,0.76,Delivered,10.10.50.7,Normal
2024-03-24 17:31:17,ocarter@aceptech.local,gbell@aceptech.local,Action Required,41952,None,0.19,Delivered,10.10.50.7,Normal
2024-03-26 15:28:12,jrivera@aceptech.local,vparker@aceptech.local,Q1 Report,26819,None,0.46,Delivered,10.10.50.7,Normal
2024-03-29 17:56:41,ptaylor@aceptech.local,yedwards@aceptech.local,Please Review,14998,None,0.63,Delivered,10.10.50.7,Normal
2024-03-05 13:17:01,ecook@aceptech.local,gbell@aceptech.local,Q1 Report,21194,None,0.94,Delivered,10.10.50.7,Normal
2024-03-17 08:13:27,hrobinson@aceptech.local,hmurphy@aceptech.local,Q1 Report,21729,None,1.0,Delivered,10.10.50.7,Normal
2024-03-21 15:43:57,ecook@aceptech.local,ecook@aceptech.local,Meeting Follow-up,18607,report.pdf,1.04,Delivered,10.10.50.7,Normal
2024-03-13 14:16:27,lward@aceptech.local,ocarter@aceptech.local,Q1 Report,22387,None,1.07,Delivered,10.10.50.7,Normal
2024-03-13 11:32:57,cwhite@aceptech.local,mbaker@aceptech.local,Q1 Report,35818,report.pdf,0.41,Delivered,10.10.50.7,Normal
2024-03-10 10:50:32,cwhite@aceptech.local,ocarter@aceptech.local,Action Required,37189,report.pdf,0.75,Delivered,10.10.50.7,Normal
2024-03-25 16:23:06,gbell@aceptech.local,hrobinson@aceptech.local,FYI,34422,invoice.xlsx,0.44,Delivered,10.10.50.7,Normal
2024-03-11 11:16:57,lward@aceptech.local,yedwards@aceptech.local,Action Required,34852,None,0.42,Delivered,10.10.50.7,Normal
2024-03-10 16:08:41,hrobinson@aceptech.local,jrivera@aceptech.local,FYI,31255,None,1.28,Delivered,10.10.50.7,Normal
2024-03-27 17:26:40,jscott@aceptech.local,eharris@aceptech.local,Meeting Follow-up,24170,None,0.08,Delivered,10.10.50.7,Normal
2024-03-28 09:39:41,rroberts@aceptech.local,lbrown@aceptech.local,Invoice Attached,41185,None,1.08,Delivered,10.10.50.7,Normal
2024-03-06 10:27:51,eharris@aceptech.local,owatson@aceptech.local,Meeting Follow-up,33977,report.pdf,0.76,Delivered,10.10.50.7,Normal
2024-03-10 15:16:58,nwood@aceptech.local,ocarter@aceptech.local,Agenda for Tomorrow,45208,None,0.62,Delivered,10.10.50.7,Normal
2024-03-20 14:54:42,ladams@aceptech.local,sturner@aceptech.local,Agenda for Tomorrow,49099,None,0.96,Delivered,10.10.50.7,Normal
2024-03-18 15:35:50,kjones@aceptech.local,gbell@aceptech.local,Action Required,41141,invoice.xlsx,0.05,Delivered,10.10.50.7,Normal
2024-03-17 11:40:24,mbaker@aceptech.local,fclark@aceptech.local,Agenda for Tomorrow,37286,None,0.29,Delivered,10.10.50.7,Normal
2024-03-10 12:51:17,kcox@aceptech.local,ocarter@aceptech.local,Team Schedule,25484,None,0.21,Delivered,10.10.50.7,Normal
2024-03-27 10:16:56,dreed@aceptech.local,xcollins@aceptech.local,Project Update,32018,report.pdf,0.5,Delivered,10.10.50.7,Normal
2024-03-09 13:47:36,wevans@aceptech.local,pbrooks@aceptech.local,Action Required,42584,None,0.6,Delivered,10.10.50.7,Normal
2024-03-23 15:35:27,eharris@aceptech.local,nnelson@aceptech.local,Project Update,44937,None,0.28,Delivered,10.10.50.7,Normal
2024-03-02 17:29:42,pmitchell@aceptech.local,lbrown@aceptech.local,FYI,46066,report.pdf,0.22,Delivered,10.10.50.7,Normal
2024-03-15 10:56:41,kjones@aceptech.local,zstewart@aceptech.local,Quick Question,10577,report.pdf,0.15,Delivered,10.10.50.7,Normal
2024-03-10 12:44:19,cwhite@aceptech.local,zstewart@aceptech.local,Agenda for Tomorrow,9753,None,0.71,Delivered,10.10.50.7,Normal
2024-03-26 16:10:09,pbrooks@aceptech.local,jrivera@aceptech.local,Project Update,25549,None,0.98,Delivered,10.10.50.7,Normal
2024-03-04 15:48:00,mwilson@aceptech.local,hmurphy@aceptech.local,Invoice Attached,32260,report.pdf,1.21,Delivered,10.10.50.7,Normal
2024-03-03 14:53:21,pbrooks@aceptech.local,ocarter@aceptech.local,Meeting Follow-up,39545,None,0.67,Delivered,10.10.50.7,Normal
2024-03-27 13:06:18,wevans@aceptech.local,hrobinson@aceptech.local,Action Required,11910,None,0.91,Delivered,10.10.50.7,Normal
2024-03-16 17:51:22,nnelson@aceptech.local,ecook@aceptech.local,Please Review,27238,None,1.04,Delivered,10.10.50.7,Normal
2024-03-03 10:51:14,jscott@aceptech.local,dreed@aceptech.local,Project Update,35250,None,0.45,Delivered,10.10.50.7,Normal
2024-03-01 17:15:00,zstewart@aceptech.local,gbell@aceptech.local,Invoice Attached,9640,report.pdf,0.54,Delivered,10.10.50.7,Normal
2024-03-30 17:22:52,hmurphy@aceptech.local,sturner@aceptech.local,Invoice Attached,34228,invoice.xlsx,0.6,Delivered,10.10.50.7,Normal
2024-03-29 12:31:15,bmorris@aceptech.local,asanchez@aceptech.local,Team Schedule,18845,None,1.5,Delivered,10.10.50.7,Normal
2024-03-27 10:03:58,ucampbell@aceptech.local,ladams@aceptech.local,FYI,6132,invoice.xlsx,1.5,Delivered,10.10.50.7,Normal
2024-03-14 15:40:20,ecook@aceptech.local,fmorgan@aceptech.local,Quick Question,31656,None,0.15,Delivered,10.10.50.7,Normal
2024-03-02 16:34:42,jrivera@aceptech.local,amartin@aceptech.local,Agenda for Tomorrow,21148,report.pdf,1.19,Delivered,10.10.50.7,Normal
2024-03-22 09:13:23,kjones@aceptech.local,hmurphy@aceptech.local,Agenda for Tomorrow,37510,None,1.48,Delivered,10.10.50.7,Normal
2024-03-07 17:14:47,hrobinson@aceptech.local,wevans@aceptech.local,Q1 Report,47976,None,1.1,Delivered,10.10.50.7,Normal
2024-03-01 17:28:06,pmitchell@aceptech.local,vparker@aceptech.local,Agenda for Tomorrow,10514,None,0.67,Delivered,10.10.50.7,Normal
2024-03-05 14:18:34,tphillips@aceptech.local,vparker@aceptech.local,Q1 Report,36341,None,0.34,Delivered,10.10.50.7,Normal
2024-03-11 14:03:13,kcox@aceptech.local,dlee@aceptech.local,Invoice Attached,31647,None,1.44,Delivered,10.10.50.7,Normal
2024-03-14 13:33:54,jrivera@aceptech.local,owatson@aceptech.local,FYI,12051,None,0.88,Delivered,10.10.50.7,Normal
2024-03-16 08:15:07,xcollins@aceptech.local,mrichardson@aceptech.local,Project Update,22184,None,0.69,Delivered,10.10.50.7,Normal
2024-03-30 15:20:00,jsmith@aceptech.local,kcox@aceptech.local,Action Required,46592,None,0.87,Delivered,10.10.50.7,Normal
2024-03-15 13:05:12,sprice@aceptech.local,qperez@aceptech.local,Team Schedule,35132,None,0.99,Delivered,10.10.50.7,Normal
2024-03-27 17:34:31,mwilson@aceptech.local,ucampbell@aceptech.local,Action Required,33162,report.pdf,0.17,Delivered,10.10.50.7,Normal
2024-03-06 15:37:31,jscott@aceptech.local,bmorris@aceptech.local,Project Update,14735,None,0.52,Delivered,10.10.50.7,Normal
2024-03-23 09:45:44,fmorgan@aceptech.local,xcollins@aceptech.local,Project Update,37609,None,1.12,Delivered,10.10.50.7,Normal
2024-03-07 17:55:52,nwood@aceptech.local,ptaylor@aceptech.local,Please Review,23259,None,0.15,Delivered,10.10.50.7,Normal
2024-03-09 12:44:09,mrichardson@aceptech.local,ocarter@aceptech.local,Meeting Follow-up,13010,None,0.88,Delivered,10.10.50.7,Normal
2024-03-21 16:42:40,sprice@aceptech.local,ibailey@aceptech.local,Action Required,36797,invoice.xlsx,1.18,Delivered,10.10.50.7,Normal
2024-03-11 17:20:25,lward@aceptech.local,jscott@aceptech.local,Project Update,6825,invoice.xlsx,0.51,Delivered,10.10.50.7,Normal
2024-03-03 14:44:52,nwood@aceptech.local,kcox@aceptech.local,Agenda for Tomorrow,17464,None,0.07,Delivered,10.10.50.7,Normal
2024-03-03 14:58:43,crogers@aceptech.local,gbell@aceptech.local,Project Update,43068,None,0.69,Delivered,10.10.50.7,Normal
2024-03-14 16:01:12,wevans@aceptech.local,jsmith@aceptech.local,Team Schedule,40736,invoice.xlsx,1.33,Delivered,10.10.50.7,Normal
2024-03-03 09:16:07,qperez@aceptech.local,pmitchell@aceptech.local,Project Update,16640,None,0.66,Delivered,10.10.50.7,Normal
2024-03-20 12:33:07,mrichardson@aceptech.local,qperez@aceptech.local,Team Schedule,20521,None,0.1,Delivered,10.10.50.7,Normal
2024-03-09 16:28:45,jsmith@aceptech.local,nwood@aceptech.local,Q1 Report,11401,invoice.xlsx,0.94,Delivered,10.10.50.7,Normal
2024-03-10 09:55:29,qkelly@aceptech.local,ocarter@aceptech.local,Meeting Follow-up,40568,None,1.0,Delivered,10.10.50.7,Normal
2024-03-08 10:18:00,dreed@aceptech.local,kcox@aceptech.local,Meeting Follow-up,35379,report.pdf,1.4,Delivered,10.10.50.7,Normal
2024-03-13 12:35:31,dreed@aceptech.local,ladams@aceptech.local,Agenda for Tomorrow,49351,None,0.7,Delivered,10.10.50.7,Normal
2024-03-10 14:33:56,sprice@aceptech.local,hmurphy@aceptech.local,Please Review,5471,None,0.16,Delivered,10.10.50.7,Normal
2024-03-30 10:06:46,mwilson@aceptech.local,sprice@aceptech.local,Meeting Follow-up,25168,report.pdf,1.35,Delivered,10.10.50.7,Normal
2024-03-24 08:47:28,pbrooks@aceptech.local,dreed@aceptech.local,Please Review,39063,None,0.75,Delivered,10.10.50.7,Normal
2024-03-07 12:25:33,crogers@aceptech.local,dreed@aceptech.local,Quick Question,16270,invoice.xlsx,0.65,Delivered,10.10.50.7,Normal
2024-03-30 09:45:42,dlee@aceptech.local,mwilson@aceptech.local,Q1 Report,24814,None,0.68,Delivered,10.10.50.7,Normal
2024-03-15 10:06:54,yedwards@aceptech.local,yedwards@aceptech.local,Quick Question,16503,invoice.xlsx,0.72,Delivered,10.10.50.7,Normal
2024-03-25 08:04:07,crogers@aceptech.local,gbell@aceptech.local,Meeting Follow-up,28830,None,0.02,Delivered,10.10.50.7,Normal
2024-03-08 17:07:47,kcox@aceptech.local,jrivera@aceptech.local,Project Update,36065,invoice.xlsx,0.22,Delivered,10.10.50.7,Normal
2024-03-11 17:12:19,kcox@aceptech.local,eharris@aceptech.local,Q1 Report,38462,invoice.xlsx,0.71,Delivered,10.10.50.7,Normal
2024-03-16 09:44:20,iwalker@aceptech.local,sprice@aceptech.local,Q1 Report,8632,None,0.53,Delivered,10.10.50.7,Normal
2024-03-17 10:22:44,hrobinson@aceptech.local,vparker@aceptech.local,Quick Question,17784,report.pdf,0.19,Delivered,10.10.50.7,Normal
2024-03-25 10:40:54,glewis@aceptech.local,ocarter@aceptech.local,Meeting Follow-up,21431,invoice.xlsx,1.23,Delivered,10.10.50.7,Normal
2024-03-13 17:33:01,ladams@aceptech.local,ladams@aceptech.local,Quick Question,5845,None,0.83,Delivered,10.10.50.7,Normal
2024-03-07 08:20:13,dreed@aceptech.local,gbell@aceptech.local,Team Schedule,42315,None,1.12,Delivered,10.10.50.7,Normal
2024-03-13 12:32:59,amartin@aceptech.local,pmitchell@aceptech.local,Team Schedule,17359,None,0.89,Delivered,10.10.50.7,Normal
2024-03-22 09:32:36,hmurphy@aceptech.local,ucampbell@aceptech.local,Invoice Attached,31802,None,1.26,Delivered,10.10.50.7,Normal
2024-03-21 11:52:22,yedwards@aceptech.local,nwood@aceptech.local,Action Required,45563,None,1.38,Delivered,10.10.50.7,Normal
2024-03-03 09:57:28,pbrooks@aceptech.local,owatson@aceptech.local,Project Update,35396,None,0.7,Delivered,10.10.50.7,Normal
2024-03-19 11:24:12,nnelson@aceptech.local,hrobinson@aceptech.local,Q1 Report,43633,report.pdf,0.06,Delivered,10.10.50.7,Normal
2024-03-19 12:12:55,hmurphy@aceptech.local,glewis@aceptech.local,FYI,29442,None,0.13,Delivered,10.10.50.7,Normal
2024-03-20 17:54:07,fclark@aceptech.local,cwhite@aceptech.local,FYI,39894,invoice.xlsx,1.41,Delivered,10.10.50.7,Normal
2024-03-27 17:42:31,qkelly@aceptech.local,sturner@aceptech.local,Quick Question,41988,None,1.12,Delivered,10.10.50.7,Normal
2024-03-27 17:59:43,rsanders@aceptech.local,jscott@aceptech.local,Project Update,30365,report.pdf,0.95,Delivered,10.10.50.7,Normal
2024-03-18 10:51:22,mbaker@aceptech.local,dreed@aceptech.local,Quick Question,16687,invoice.xlsx,0.82,Delivered,10.10.50.7,Normal
2024-03-14 08:15:04,rthompson@aceptech.local,ptaylor@aceptech.local,Team Schedule,19939,None,0.62,Delivered,10.10.50.7,Normal
2024-03-23 15:44:33,sturner@aceptech.local,rroberts@aceptech.local,Agenda for Tomorrow,27254,invoice.xlsx,0.07,Delivered,10.10.50.7,Normal
2024-03-11 11:55:28,kgreen@aceptech.local,gbell@aceptech.local,Q1 Report,15486,invoice.xlsx,1.15,Delivered,10.10.50.7,Normal
2024-03-07 16:35:03,cwhite@aceptech.local,jrivera@aceptech.local,Agenda for Tomorrow,9254,None,0.72,Delivered,10.10.50.7,Normal
2024-03-18 16:36:41,pbrooks@aceptech.local,cwhite@aceptech.local,Agenda for Tomorrow,34998,None,1.46,Delivered,10.10.50.7,Normal
2024-03-23 09:09:14,qperez@aceptech.local,wevans@aceptech.local,Q1 Report,30600,invoice.xlsx,1.04,Delivered,10.10.50.7,Normal
